,beliefself1_100,beliefself2_100,beliefself3_100,beliefself4_100,beliefself5_100,beliefself6_100,beliefself7_100,beliefself8_100,beliefself9_100,beliefothers1_100,beliefothers2_100,beliefothers3_100,beliefothers4_100,beliefothers5_100,beliefothers6_100,beliefothers7_100,beliefothers8_100,beliefothers9_100,emocomp1_100,emocomp2_100,emocomp3_100,emocomp4_100,emocomp5_100,emocomp6_100,emocomp7_100,emocomp8_100,emocomp9_100,engaged1_100,engaged2_100,engaged3_100,engaged4_100,engaged5_100,engaged6_100,engaged7_100,engaged8_100,engaged9_100,psydis1_100,psydis2_100,psydis3_100,psydis4_100,psydis5_100,psydis6_100,psydis7_100,psydis8_100,psydis9_100,psydis10_100,suicidal,homobully,transbully,ethnic,grade,a3,sch_id,formnum
1519,33.333332,33.333332,33.333332,0.0,0.0,0.0,0.0,0.0,33.333332,66.666664,33.333332,100.0,66.666664,33.333332,100.0,0.0,0.0,0.0,33.333332,66.666664,0.0,100.0,66.666664,66.666664,66.666664,66.666664,33.333332,100.0,66.666664,0.0,66.666664,66.666664,66.666664,33.333332,33.333332,33.333332,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,0.0,0.0,Hispanic,8th,Female,361.0,60693617
1547,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.666664,66.666664,33.333332,33.333332,100.0,100.0,66.666664,100.0,33.333332,100.0,66.666664,100.0,100.0,100.0,66.666664,100.0,100.0,66.666664,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,White,9th,Male,372.0,65572118
1551,33.333332,100.0,100.0,66.666664,0.0,0.0,66.666664,33.333332,33.333332,66.666664,100.0,66.666664,33.333332,33.333332,66.666664,100.0,100.0,100.0,66.666664,33.333332,100.0,100.0,66.666664,100.0,100.0,100.0,66.666664,33.333332,33.333332,33.333332,33.333332,33.333332,33.333332,0.0,33.333332,33.333332,66.666664,66.666664,66.666664,66.666664,100.0,100.0,33.333332,33.333332,33.333332,33.333332,0.0,0.0,0.0,Hispanic,9th,Male,372.0,65571781
1556,66.666664,33.333332,,0.0,100.0,100.0,0.0,66.666664,0.0,66.666664,100.0,0.0,33.333332,0.0,33.333332,100.0,100.0,100.0,100.0,100.0,66.666664,100.0,100.0,100.0,100.0,100.0,100.0,0.0,33.333332,0.0,33.333332,0.0,0.0,0.0,0.0,0.0,100.0,33.333332,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,1.0,0.0,2.0,White,12th,Male,373.0,65220579
1563,0.0,33.333332,66.666664,100.0,33.333332,0.0,66.666664,100.0,66.666664,0.0,66.666664,33.333332,0.0,33.333332,66.666664,100.0,66.666664,33.333332,33.333332,33.333332,66.666664,100.0,33.333332,33.333332,66.666664,66.666664,33.333332,0.0,66.666664,100.0,0.0,33.333332,66.666664,100.0,66.666664,33.333332,0.0,33.333332,66.666664,100.0,66.666664,33.333332,0.0,33.333332,66.666664,100.0,1.0,2.0,1.0,White,12th,Male,373.0,65215218
1564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333332,0.0,,33.333332,33.333332,33.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333332,33.333332,33.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.333332,33.333332,33.333332,33.333332,33.333332,33.333332,33.333332,33.333332,33.333332,0.0,0.0,0.0,White,11th,Male,373.0,65214803
1566,33.333332,66.666664,66.666664,33.333332,0.0,0.0,0.0,100.0,66.666664,66.666664,33.333332,33.333332,66.666664,33.333332,0.0,100.0,66.666664,66.666664,66.666664,66.666664,66.666664,100.0,100.0,100.0,100.0,66.666664,66.666664,0.0,0.0,0.0,66.666664,66.666664,66.666664,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,66.666664,100.0,100.0,100.0,0.0,1.0,2.0,2.0,Asian,9th,Female,373.0,65221441
1568,100.0,100.0,33.333332,0.0,100.0,100.0,33.333332,100.0,100.0,66.666664,100.0,33.333332,100.0,66.666664,33.333332,100.0,66.666664,100.0,100.0,100.0,100.0,0.0,33.333332,33.333332,66.666664,100.0,66.666664,0.0,33.333332,66.666664,33.333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.666664,0.0,0.0,0.0,0.0,0.0,White,9th,Female,373.0,65215526
1576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,66.666664,66.666664,66.666664,66.666664,66.666664,66.666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,2.0,2.0,White,7th,Female,375.0,65759561
1577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.666664,66.666664,66.666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,0.0,0.0,White,7th,Male,375.0,65759558
