,00000000,11472200,11475560,11475800,11478500
2006-11-08,21.471407793006122,12.563099987440825,36.81219933802388,31.0369177930042,19.5893214003564
2006-11-09,0.0,0.026208371645604304,0.3211991987914678,0.32448878898647504,4.014300650896438
2006-11-10,0.0,0.0,0.0,0.0,0.0
2006-11-11,28.680224671655772,22.67346411822854,37.38353315862527,30.606730302367545,30.67297286221814
2006-11-12,0.7527142787466244,0.9108291269740028,0.7216534101630586,0.7095203016743515,0.6867671154435298
2006-11-13,35.32173437001754,29.36412643072876,45.56613900841945,39.51522257872302,36.70443590434234
2006-11-14,39.47885661222497,36.226389328416104,42.754577727906735,37.38611971113417,33.627631562529615
2006-11-15,0.0,0.0,0.0,0.0,0.0
2006-11-16,36.16781553930166,23.827129448755038,53.08610758078525,45.36812586928858,36.81979443561806
2006-11-17,4.395265316476627,4.712423918145563,3.3020358855030927,2.833471309717255,1.4039838392798318
2006-11-18,0.0,0.0,0.0,0.0,0.0
2006-11-19,0.0,0.0,0.0,0.0,0.0
2006-11-20,0.12583673443426663,0.12410379473224399,3.391147334262194,2.5416665572710713,4.0040695899306336
2006-11-21,1.507306145161999,1.592005135595261,1.8369840174557204,1.7013355526779634,3.76513443415779
2006-11-22,8.523163211588956,4.513258311335189,12.487187336165592,9.342012983476273,16.835375286132063
2006-11-23,20.29214368547712,13.961932892150834,29.372725619737846,23.37955482078321,29.896509470562215
2006-11-24,0.0,0.0,0.0,0.0,4.615384478998291e-05
2006-11-25,0.5865918470888722,0.21636990361800318,0.7677609533427721,0.7057685835373522,0.3823408027864274
2006-11-26,4.184489853528082,0.9881176569206245,13.027079650605343,11.908671500177093,6.178985948041665
2006-11-27,24.71185715344488,27.757271756570802,21.517653879416414,21.06728986191026,30.12935410120017
2006-11-28,2.3322856815493838,2.3451993413109524,6.261214983890731,4.258732612277521,11.013550937561156
2006-11-29,0.0,0.0,0.0,0.0,1.0271287644254987
2006-11-30,0.0,0.0,0.0,0.0,0.0
2006-12-01,0.0,0.0,0.0,0.0,0.0
2006-12-02,0.0,0.0,0.0,0.0,0.0
2006-12-03,0.0,0.0,0.0,0.0,0.0
2006-12-04,0.0,0.0,0.0,0.0,0.0
2006-12-05,0.0,0.0,0.0,0.0,0.0
2006-12-06,0.0,0.0,0.0,0.0,0.0
2006-12-07,0.0,0.0,0.0,0.0,0.0
2006-12-08,0.0,0.0,0.0,0.0,0.0
2006-12-09,37.78114318847657,25.462687995476102,48.9207421109021,41.74332779720575,24.31286326081989
2006-12-10,34.73395966510384,33.12133703311953,34.12025917478766,30.135316987471146,23.17324122702132
2006-12-11,5.46906124815649,6.001365254684434,7.487007758531912,5.811059894513603,10.195970645849254
2006-12-12,39.688938919378785,40.214652279029565,47.64016281371097,38.63255546531292,30.03924911800967
2006-12-13,47.143060723129594,29.075832985956062,53.99376494571032,46.9195316430294,22.252427308030487
2006-12-14,27.22081690418477,21.98557625297739,26.95090001322834,23.00478501001993,23.219089166349928
2006-12-15,23.83361170243244,16.843345004674475,35.43999572389154,27.025475249434965,15.137943690649776
2006-12-16,0.0,0.00044164333261788324,0.473585667363201,0.3697956581518167,0.41533132769258785
2006-12-17,0.0008571428645934378,0.01926501719756449,2.720083698333497,1.615877982853639,2.7351176013515945
2006-12-18,0.0,0.0,0.0,0.0,0.5637663325877449
2006-12-19,0.0,0.0,0.0,0.0,0.0
2006-12-20,0.0,0.0,0.0,0.0,0.0
2006-12-21,14.783979415893558,11.272297793521044,12.352330538381143,9.632261700774684,10.823210929096609
2006-12-22,20.813918444575098,24.665165200101384,18.447573699799193,16.257388414325135,11.897464943197924
2006-12-23,0.0,0.0,0.0,0.0,0.0
2006-12-24,28.18365272210569,13.264288640477309,40.416593346462776,33.93990519359858,15.300234136932273
2006-12-25,2.342775442162339,1.1617134931050026,4.005139514269581,2.8047293008577943,2.1229181672418402
2006-12-26,54.22934621694137,28.81778291790723,75.0581979029682,60.48633744365035,34.27549709375353
2006-12-27,85.63238572101206,78.0277599248046,125.53151085842178,98.85801584263041,80.85690967980834
2006-12-28,0.07036734647022523,0.4208099893750806,8.509051543307969,4.38447572642956,6.266994986659043
2006-12-29,0.0,0.0,0.0,0.0,0.0
2006-12-30,0.0,0.0,0.0,0.0,0.0
2006-12-31,0.0,0.0,0.0,0.0,0.0
2007-01-01,0.0,0.0,0.0,0.0,0.0
2007-01-02,0.0,0.0,0.0,0.0,0.0
