id,workbook_description,csv_description,archived_description,description_matches,selected_description
11,"bay laurel tree tag 288, note that trees 65 and 64 are approximately 8 m east, but were out of view of total station","bay laurel tree tag 288, note that trees 65 and 64 are approximately 8 m east, but were out of view of total station","bay laurel tree tag 288, note that trees 65 and 64 are approximately 8 m east, but were out of view of total station",True,"bay laurel tree tag 288, note that trees 65 and 64 are approximately 8 m east, but were out of view of total station"
12,sierra sap flow tree,sierra sap flow tree,sierra sap flow tree,True,sierra sap flow tree
13,PSME tree tag 76,PSME tree tag 76,PSME tree tag 76,True,PSME tree tag 76
14,Uniform sap flow tree tag 42,Uniform sap flow tree tag 42,Uniform sap flow tree tag 42,True,Uniform sap flow tree tag 42
15,tree tag 43 with yellow and blue flagging,tree tag 43 with yellow and blue flagging,tree tag 43 with yellow and blue flagging,True,tree tag 43 with yellow and blue flagging
16,level 3 rain gauge,level 3 rain gauge,level 3 rain gauge,True,level 3 rain gauge
17,old rain gauge level 3,old rain gauge level 3,old rain gauge level 3,True,old rain gauge level 3
18,"unknown soil sensors, likely soil temperature or psychrometer","unknown soil sensors, likely soil temperature or psychrometer","unknown soil sensors, likely soil temperature or psychrometer",True,"unknown soil sensors, likely soil temperature or psychrometer"
19,Level 3 TDR,Level 3 TDR,Level 3 TDR,True,Level 3 TDR
20,"tree tag 44 madrone, offset by 20 cm to the S","tree tag 44 madrone, offset by 20 cm to the S","tree tag 44 madrone, offset by 20 cm to the S",True,"tree tag 44 madrone, offset by 20 cm to the S"
21,"Tango sap flow, tree tag covered","Tango sap flow, tree tag covered","Tango sap flow, tree tag covered",True,"Tango sap flow, tree tag covered"
22,tree tag 93,tree tag 93,tree tag 93,True,tree tag 93
23,data logger hut level 3,data logger hut level 3,data logger hut level 3,True,data logger hut level 3
24,Well 10,Well 10,Well 10,True,Well 10
25,tree tag 94 douglas fir,tree tag 94 douglas fir,tree tag 94 douglas fir,True,tree tag 94 douglas fir
26,tree tag 32 live oak,tree tag 32 live oak,tree tag 32 live oak,True,tree tag 32 live oak
27,N02_WV soil sample,N02_WV soil sample,N02_WV soil sample,True,N02_WV soil sample
28,soil cores (2 of them),soil cores (2 of them),soil cores (2 of them),True,soil cores (2 of them)
29,tree tag 296 dendrometer,tree tag 296 dendrometer,tree tag 296 dendrometer,True,tree tag 296 dendrometer
30,tree tag 34,tree tag 34,tree tag 34,True,tree tag 34
31,whiskey sap flow madrone tree 36,whiskey sap flow madrone tree 36,whiskey sap flow madrone tree 36,True,whiskey sap flow madrone tree 36
32,tree tag 37 dendrometer,tree tag 37 dendrometer,tree tag 37 dendrometer,True,tree tag 37 dendrometer
33,tree tag 38,tree tag 38,tree tag 38,True,tree tag 38
34,ERP level 3,ERP level 3,ERP level 3,True,ERP level 3
35,T-series TDR (?),T-series TDR (?),T-series TDR (?),True,T-series TDR (?)
36,tree tag 39,tree tag 39,tree tag 39,True,tree tag 39
37,victor sap flow,victor sap flow,victor sap flow,True,victor sap flow
38,Tree tag 40 sapflow,Tree tag 40 sapflow,Tree tag 40 sapflow,True,Tree tag 40 sapflow
39,tree tag 41 ursula,tree tag 41 ursula,tree tag 41 ursula,True,tree tag 41 ursula
40,CO2 soil flux,CO2 soil flux,CO2 soil flux,True,CO2 soil flux
41,VMS VSP 9 Sleeve A,VMS VSP 9 Sleeve A,VMS VSP 9 Sleeve A,True,VMS VSP 9 Sleeve A
42,VMS VSP 7 Sleeve A,VMS VSP 7 Sleeve A,VMS VSP 7 Sleeve A,True,VMS VSP 7 Sleeve A
43,VMS VSP 6 Sleeve A,VMS VSP 6 Sleeve A,VMS VSP 6 Sleeve A,True,VMS VSP 6 Sleeve A
44,VMS VSP 4 Sleeve A,VMS VSP 4 Sleeve A,VMS VSP 4 Sleeve A,True,VMS VSP 4 Sleeve A
45,VMS VSP 2 Sleeve A,VMS VSP 2 Sleeve A,VMS VSP 2 Sleeve A,True,VMS VSP 2 Sleeve A
46,VMS VSP 1 Sleeve A,VMS VSP 1 Sleeve A,VMS VSP 1 Sleeve A,True,VMS VSP 1 Sleeve A
47,CO2 soil flux,CO2 soil flux,CO2 soil flux,True,CO2 soil flux
48,SW corner of VMS sampling hut,SW corner of VMS sampling hut,SW corner of VMS sampling hut,True,SW corner of VMS sampling hut
49,VMS FS1 Sleeve B,VMS FS1 Sleeve B,VMS FS1 Sleeve B,True,VMS FS1 Sleeve B
50,VMS FS2 Sleeve B,VMS FS2 Sleeve B,VMS FS2 Sleeve B,True,VMS FS2 Sleeve B
51,VMS FS4 Sleeve B,VMS FS4 Sleeve B,VMS FS4 Sleeve B,True,VMS FS4 Sleeve B
52,VMS FS6 Sleeve B,VMS FS6 Sleeve B,VMS FS6 Sleeve B,True,VMS FS6 Sleeve B
53,Xray sap flow,Xray sap flow,Xray sap flow,True,Xray sap flow
54,CO2 soil flux,CO2 soil flux,CO2 soil flux,True,CO2 soil flux
55,tree live oak sampled no number,tree live oak sampled no number,tree live oak sampled no number,True,tree live oak sampled no number
56,betwen Zulu and Yankee sap flow trees,betwen Zulu and Yankee sap flow trees,betwen Zulu and Yankee sap flow trees,True,betwen Zulu and Yankee sap flow trees
57,VMS soil lysimeter 30 cm,VMS soil lysimeter 30 cm,VMS soil lysimeter 30 cm,True,VMS soil lysimeter 30 cm
58,VMS soil lysimeter 15 cm,VMS soil lysimeter 15 cm,VMS soil lysimeter 15 cm,True,VMS soil lysimeter 15 cm
59,Hyprop sample N1,Hyprop sample N1,Hyprop sample N1,True,Hyprop sample N1
60,Hyprop sample N2,Hyprop sample N2,Hyprop sample N2,True,Hyprop sample N2
61,Flux Hole 1,Flux Hole 1,Flux Hole 1,True,Flux Hole 1
62,Hyprop sample N3,Hyprop sample N3,Hyprop sample N3,True,Hyprop sample N3
63,Hyprop sample N4,Hyprop sample N4,Hyprop sample N4,True,Hyprop sample N4
64,yellow flag labeled C16 12/19/06,yellow flag labeled C16 12/19/06,yellow flag labeled C16 12/19/06,True,yellow flag labeled C16 12/19/06
65,Tree tag 636,Tree tag 636,Tree tag 636,True,Tree tag 636
66,tree tag 637,tree tag 637,tree tag 637,True,tree tag 637
67,tree tag 638,tree tag 638,tree tag 638,True,tree tag 638
68,tree tag 639,tree tag 639,tree tag 639,True,tree tag 639
69,tree tag 640,tree tag 640,tree tag 640,True,tree tag 640
70,tracer hole,tracer hole,tracer hole,True,tracer hole
71,tracer hole,tracer hole,tracer hole,True,tracer hole
72,tracer hole,tracer hole,tracer hole,True,tracer hole
73,tracer hole,tracer hole,tracer hole,True,tracer hole
74,tracer hole,tracer hole,tracer hole,True,tracer hole
75,well 15 resurveyed,well 15 resurveyed,well 15 resurveyed,True,well 15 resurveyed
76,stake #122,stake #122,stake #122,True,stake #122
77,tree tag 630,tree tag 630,tree tag 630,True,tree tag 630
78,auger hole near huge douglas fir,auger hole near huge douglas fir,auger hole near huge douglas fir,True,auger hole near huge douglas fir
79,tree tag 631,tree tag 631,tree tag 631,True,tree tag 631
80,tree tag 629,tree tag 629,tree tag 629,True,tree tag 629
81,"well 7, offset to the west by 49 cm, same elevation","well 7, offset to the west by 49 cm, same elevation","well 7, offset to the west by 49 cm, same elevation",True,"well 7, offset to the west by 49 cm, same elevation"
82,trail,trail,trail,True,trail
83,trail,trail,trail,True,trail
84,trail,trail,trail,True,trail
85,trail,trail,trail,True,trail
86,trail,trail,trail,True,trail
87,trail,trail,trail,True,trail
88,trail,trail,trail,True,trail
89,trail,trail,trail,True,trail
90,trail,trail,trail,True,trail
91,trail,trail,trail,True,trail
92,trail,trail,trail,True,trail
93,trail,trail,trail,True,trail
94,trail,trail,trail,True,trail
95,trail,trail,trail,True,trail
96,oshun tdr level 5,oshun tdr level 5,oshun tdr level 5,True,oshun tdr level 5
97,"oshun lysimeter, they’re broken","oshun lysimeter, they’re broken","oshun lysimeter, they?re broken",False,"oshun lysimeter, they’re broken"
98,tree tag 47 yellow and pink flag,tree tag 47 yellow and pink flag,tree tag 47 yellow and pink flag,True,tree tag 47 yellow and pink flag
99,TDR T1 plot,TDR T1 plot,TDR T1 plot,True,TDR T1 plot
100,TDR T2 plot,TDR T2 plot,TDR T2 plot,True,TDR T2 plot
101,TDR T3 plot,TDR T3 plot,TDR T3 plot,True,TDR T3 plot
102,TDR T4 plot,TDR T4 plot,TDR T4 plot,True,TDR T4 plot
103,TDR T5 plot,TDR T5 plot,TDR T5 plot,True,TDR T5 plot
104,TDR T6 plot,TDR T6 plot,TDR T6 plot,True,TDR T6 plot
105,"sapflow moss foot, box november","sapflow moss foot, box november","sapflow moss foot, box november",True,"sapflow moss foot, box november"
106,tracer hole,tracer hole,tracer hole,True,tracer hole
107,tree tag 83 small douglas fir sampled,tree tag 83 small douglas fir sampled,tree tag 83 small douglas fir sampled,True,tree tag 83 small douglas fir sampled
108,tree 79 madrone,tree 79 madrone,tree 79 madrone,True,tree 79 madrone
109,tree tag 80 madrone,tree tag 80 madrone,tree tag 80 madrone,True,tree tag 80 madrone
110,tree tag 81 oak,tree tag 81 oak,tree tag 81 oak,True,tree tag 81 oak
111,tracer hole,tracer hole,tracer hole,True,tracer hole
112,tracer hole,tracer hole,tracer hole,True,tracer hole
113,sapflow spdf box oscar,sapflow spdf box oscar,sapflow spdf box oscar,True,sapflow spdf box oscar
114,tree tag 71 dendrometer old sapflow,tree tag 71 dendrometer old sapflow,tree tag 71 dendrometer old sapflow,True,tree tag 71 dendrometer old sapflow
115,tracer hole,tracer hole,tracer hole,True,tracer hole
116,tracer hole,tracer hole,tracer hole,True,tracer hole
117,tree tag 78 tan oak,tree tag 78 tan oak,tree tag 78 tan oak,True,tree tag 78 tan oak
118,tracer hole,tracer hole,tracer hole,True,tracer hole
119,tree tag 77 live oak,tree tag 77 live oak,tree tag 77 live oak,True,tree tag 77 live oak
120,tree tag 73 live oak box quebec,tree tag 73 live oak box quebec,tree tag 73 live oak box quebec,True,tree tag 73 live oak box quebec
121,"tree tag 99, live oak, dendrometer and old sapflow","tree tag 99, live oak, dendrometer and old sapflow","tree tag 99, live oak, dendrometer and old sapflow",True,"tree tag 99, live oak, dendrometer and old sapflow"
122,"solar panel control box, Todd and Lydia differntial GPS surveey point","solar panel control box, Todd and Lydia differntial GPS surveey point","solar panel control box, Todd and Lydia differntial GPS surveey point",True,"solar panel control box, Todd and Lydia differntial GPS surveey point"
123,"tree tag 50, tan oak","tree tag 50, tan oak","tree tag 50, tan oak",True,"tree tag 50, tan oak"
124,"tree tag 70, madrone, old sap flow and dendrometer","tree tag 70, madrone, old sap flow and dendrometer","tree tag 70, madrone, old sap flow and dendrometer",True,"tree tag 70, madrone, old sap flow and dendrometer"
125,"tree tag 51, madrone, (#15 or 1S?)","tree tag 51, madrone, (#15 or 1S?)","tree tag 51, madrone, (#15 or 1S?)",True,"tree tag 51, madrone, (#15 or 1S?)"
126,Well 16,Well 16,Well 16,True,Well 16
127,"repeat of #122, solar panel control box","repeat of #122, solar panel control box","repeat of #122, solar panel control box",True,"repeat of #122, solar panel control box"
128,"sapflow wye, box papa","sapflow wye, box papa","sapflow wye, box papa",True,"sapflow wye, box papa"
129,"tree tag 53, nearly dead","tree tag 53, nearly dead","tree tag 53, nearly dead",True,"tree tag 53, nearly dead"
130,vertical hobo upper south side,vertical hobo upper south side,vertical hobo upper south side,True,vertical hobo upper south side
131,tree tag 52,tree tag 52,tree tag 52,True,tree tag 52
132,"tree tag 621, oak","tree tag 621, oak","tree tag 621, oak",True,"tree tag 621, oak"
133,tree tag 95 oak,tree tag 95 oak,tree tag 95 oak,True,tree tag 95 oak
134,tree tag 300 dendrometer and old sap flow,tree tag 300 dendrometer and old sap flow,tree tag 300 dendrometer and old sap flow,True,tree tag 300 dendrometer and old sap flow
135,tree tag 61,tree tag 61,tree tag 61,True,tree tag 61
136,tree tag 60 small madrone,tree tag 60 small madrone,tree tag 60 small madrone,True,tree tag 60 small madrone
137,tree tag 62 big oak,tree tag 62 big oak,tree tag 62 big oak,True,tree tag 62 big oak
138,tree tag huge double oak,tree tag huge double oak,tree tag huge double oak,True,tree tag huge double oak
139,peripheral stake #113,peripheral stake #113,peripheral stake #113,True,peripheral stake #113
140,tree tag 55 madrone,tree tag 55 madrone,tree tag 55 madrone,True,tree tag 55 madrone
141,tree tag 56 small bay,tree tag 56 small bay,tree tag 56 small bay,True,tree tag 56 small bay
142,TDR WCRD,TDR WCRD,TDR WCRD,True,TDR WCRD
143,TDR 57 (did you mean tree tag) madrone,TDR 57 (did you mean tree tag) madrone,TDR 57 (did you mean tree tag) madrone,True,TDR 57 (did you mean tree tag) madrone
144,top of ladder below well 16,top of ladder below well 16,top of ladder below well 16,True,top of ladder below well 16
145,sap flow tree white beard box mike,sap flow tree white beard box mike,sap flow tree white beard box mike,True,sap flow tree white beard box mike
146,TDR WCR 3,TDR WCR 3,TDR WCR 3,True,TDR WCR 3
147,TDR WCR EF2,TDR WCR EF2,TDR WCR EF2,True,TDR WCR EF2
148,Banana slug sap flow kilo box,Banana slug sap flow kilo box,Banana slug sap flow kilo box,True,Banana slug sap flow kilo box
149,bottom of first ladder on south side,bottom of first ladder on south side,bottom of first ladder on south side,True,bottom of first ladder on south side
150,top of second ladder,top of second ladder,top of second ladder,True,top of second ladder
151,bottom of second ladder,bottom of second ladder,bottom of second ladder,True,bottom of second ladder
