rounded_datetime,J [mm/h],Cin [-],C_flux_in,C_in_conserved,ET [mm/h],Q [mm/h],wi [-],measC_Q
2017-03-14 12:00:00,0.0,-27.0,0.0,,0.08197979063526123,0.2171927447799108,0.031465304104170096,
2017-03-14 16:00:00,0.0,-27.0,0.0,,0.08197979063526123,0.21321068817053584,0.030888412724575574,
2017-03-14 20:00:00,0.0,-27.0,0.0,,0.08197979063526123,0.2058533645303573,0.029822537223229494,
2017-03-15 00:00:00,0.0,-27.0,0.0,,0.08197979063526123,0.20843222023928584,0.030196143069062136,
2017-03-15 04:00:00,0.0,-27.0,0.0,,0.0484532445498657,0.2060809106223216,0.029855502444920613,
2017-03-15 08:00:00,0.0,-27.0,0.0,,0.0484532445498657,0.20471563407053586,0.02965771111477392,
2017-03-15 12:00:00,0.045675000000000014,-27.0,-1.2332250000000002,-27.0,0.0484532445498657,0.20054395571785727,0.029053348717103463,
2017-03-15 16:00:00,0.137025,-27.0,-3.6996750000000014,-27.000000000000004,0.0484532445498657,0.19591718518125006,0.028383055876050767,
2017-03-15 20:00:00,0.8678250000000001,-27.0,-23.431275000000007,-27.0,0.0484532445498657,0.19421058949151795,0.0281358167133674,
2017-03-16 00:00:00,0.5481000000000001,-27.0,-14.798700000000006,-27.0,0.0484532445498657,0.19500700081339295,0.028251194989286306,
2017-03-16 04:00:00,0.045675000000000014,-27.0,-1.2332250000000002,-27.0,0.04956944545867449,0.1939830433995537,0.02810285149167628,
2017-03-16 08:00:00,0.0,-27.0,0.0,,0.04956944545867449,0.19053192767142865,0.027602878962694352,
2017-03-16 12:00:00,0.0,-27.0,0.0,,0.04956944545867449,0.18734628238392867,0.027141365859018732,
2017-03-16 16:00:00,0.0,-27.0,0.0,,0.04956944545867449,0.18165763008482155,0.026317235316740843,
2017-03-16 20:00:00,0.0,-27.0,0.0,,0.04956944545867449,0.1789270769812501,0.02592165265644745,
2017-03-17 00:00:00,0.0,-27.0,0.0,,0.04956944545867449,0.17960971525714292,0.02602054832152079,
2017-03-17 04:00:00,0.0,-27.0,0.0,,0.08387078857879145,0.17960971525714292,0.02602054832152079,
2017-03-17 08:00:00,0.0,-27.0,0.0,,0.08387078857879145,0.17892707698125007,0.025921652656447445,
2017-03-17 12:00:00,0.045675000000000014,-27.0,-1.2332250000000002,-27.0,0.08387078857879145,0.17596897778571435,0.025493104774462937,
2017-03-17 16:00:00,0.0,-27.0,0.0,,0.08387078857879145,0.17035617418392868,0.02467996263941542,
2017-03-17 20:00:00,0.0,-27.0,0.0,,0.08387078857879145,0.16443997579285724,0.023822866875446404,
2017-03-18 00:00:00,0.0,-27.0,0.0,,0.08387078857879145,0.16535016016071435,0.023954727762210862,
2017-03-18 04:00:00,0.31972500000000004,-27.0,-8.632575000000003,-27.00000000000001,0.047956385294417855,0.16717052889642864,0.024218449535739792,
2017-03-18 08:00:00,0.3654000000000001,-27.0,-9.8658,-27.0,0.047956385294417855,0.16671543671250008,0.02415251909235756,
2017-03-18 12:00:00,0.137025,-27.0,-3.6996750000000014,-27.000000000000004,0.047956385294417855,0.1648950679767858,0.023888797318828637,-49.3
2017-03-18 16:00:00,0.411075,-27.0,-11.099025,-27.0,0.047956385294417855,0.16079923832142864,0.023295423328388548,
2017-03-18 20:00:00,0.18270000000000006,-27.0,-4.932900000000001,-27.0,0.047956385294417855,0.16148187659732152,0.023394318993461897,
2017-03-19 00:00:00,0.09135,-27.0,-2.4664500000000005,-27.0,0.047956385294417855,0.16421242970089295,0.023789901653755288,
