rounded_datetime,J [mm/h],Cin [-],C_flux_in,C_in_conserved,ET [mm/h],Q [mm/h],wi [-],measC_Q
2017-12-27 20:00:00,0.0,-44.399999999999984,0.0,,0.009194316228458869,0.0040931305,0.00033050050592554826,
2017-12-28 00:00:00,0.0,-44.399999999999984,0.0,,0.009194316228458869,0.00299767325,0.00024204762729272436,
2017-12-28 04:00:00,0.0,-44.399999999999984,0.0,,0.009422532042736314,0.0026885085,0.00021708406791211195,
2017-12-28 08:00:00,0.0,-44.399999999999984,0.0,,0.009422532042736314,0.00288312975,0.00023279879325225502,
2017-12-28 12:00:00,0.0,-44.399999999999984,0.0,,0.009422532042736314,0.002771864,0.00022381462168304038,
2017-12-28 16:00:00,0.06888480000000001,-44.399999999999984,-3.058485119999999,-44.399999999999984,0.009422532042736314,0.00332004025,0.00026807720455484705,
2017-12-28 20:00:00,0.0,-44.399999999999984,0.0,,0.009422532042736314,0.003711661,0.00029969868742863836,
2017-12-29 00:00:00,0.0,-44.399999999999984,0.0,,0.009422532042736314,0.0029158182500000004,0.00023543823164493458,
2017-12-29 04:00:00,0.0,-44.399999999999984,0.0,,0.010364887898319448,0.002673068,0.00021583732216048164,
2017-12-29 08:00:00,0.0,-44.399999999999984,0.0,,0.010364887898319448,0.002885876,0.0002330205396672296,
2017-12-29 12:00:00,0.0,-44.399999999999984,0.0,,0.010364887898319448,0.0026233610000000003,0.00021182372214258798,
2017-12-29 16:00:00,0.0,-44.399999999999984,0.0,,0.010364887898319448,0.00283116425,0.000228602830274609,
2017-12-29 20:00:00,0.0,-44.399999999999984,0.0,,0.010364887898319448,0.0035449565000000003,0.00028623810473036736,
2017-12-30 00:00:00,0.0,-44.399999999999984,0.0,,0.010364887898319448,0.00282999075,0.00022850807582109142,
2017-12-30 04:00:00,0.0,-44.399999999999984,0.0,,0.009942982652593418,0.00251919125,0.00020341251827866574,
2017-12-30 08:00:00,0.0,-44.399999999999984,0.0,,0.009942982652593418,0.0026703915000000004,0.0002156212077209079,
2017-12-30 12:00:00,0.0,-44.399999999999984,0.0,,0.009942982652593418,0.0024150942500000003,0.00019500718862564548,
2017-12-30 16:00:00,0.0,-44.399999999999984,0.0,,0.009942982652593418,0.00308499675,0.0002490985778864544,
2017-12-30 20:00:00,0.0,-44.399999999999984,0.0,,0.009942982652593418,0.00381271325,0.00030785816823432365,
2017-12-31 00:00:00,0.0,-44.399999999999984,0.0,,0.009942982652593418,0.00321180075,0.00025933738804737727,
2017-12-31 04:00:00,0.0,-44.399999999999984,0.0,,0.007073636477576667,0.0026735810000000004,0.00021587874443117151,
2017-12-31 08:00:00,0.0,-44.399999999999984,0.0,,0.007073636477576667,0.00246916825,0.00019937340278798849,
